FID,Autonum,Ref_CODE,CONTINENT,REGION,WHO_region,ISO_CTRY,ADM0_NAME,ADM0_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME1,ADM2_NAME2,ADM2_CODE1,ADM2_CODE2,District,ADM_Level,Site_name,Name_Posit,GEORELIABI,Urbanizat,Latitude,Longitude,Cartograph,PoT,Coverage,Trial_Cont,Period,Year_start,Year_end,month,N_rounds,Method_0,Method_1,Method_2,BS_smear,BS_ICT,BS_other,Day_Night,LF_species,Sex,Age_Range,Age_start,Age_end,pop_Mf,np_Mf,prev_Mf,density,mfload_met,popMf_Filt,npMf_Filt,prev_Filt,pop_ICT,np_ICT,prev_ICT,pop_others,np_others,prev_other,prev_high,pop_hydroc,np_hydroc,pop_lymph,np_lymph,pop_clinic,np_clinic,Source_dat,Source_d_1,Source_d_2,Source_d_3,Reference,Notes,Notes_JC,Status,Reviewed,Approval,Occurrence,Source_d_4,Yr_Start,Yr_End,Poverty,Temp,AnnRain,AridityInd,LANDCOV,lnLF,landcov14,landcov2030,landcov4060,landcov110120130,landcov170
36,3125,LF3125NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Abia,65698,Arochukwu,Arochukwu,NGP019008000000000000,NGP019008000000000000,Health,Location,Okrika-Eleme,Okrika-Eleme,1,Rural,5.522116,7.78747,AFRO,Preintervention,No,No,before 2000,1983,1985,,0,Mapping Survey,Clinical/Parasitological,Clinical/Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,336,15,0.045,0,0,0,0,0,0,0,0,0,0,0,0.045,0,3,336,6,0,0,NGA0003LF,"Udonsi, 1986",Journal,1986,Lindsay/Thomas 2000,,,OK,Yes,Yes,1,NGA0003LF,1983,1985,0.1884688288,26.9,2176,13591,40,-3.101092789,0,0,1,0,0
37,3126,LF3126NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Zamfara,65710,Bungudu,Bungudu,NGP037006000000000000,NGP037006000000000000,Health,Location,Gada,Gada,1,Rural,12.288652,6.480354,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,10,99,0,0,0,0,0,0,0,0,0,0,0,101,2,0.02,0.02,0,0,0,0,101,2,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,,OK,Yes,Yes,1,NGA0005LF,1984,1987,0.6267402768,26.8,846,4264,30,0,0,1,0,0,0
38,3127,LF3127NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Jos East,Jos East,NGP032008000000000000,NGP032008000000000000,Health,Location,Maigemu,Maigemu,1,Rural,10.012678,9.195214,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,10,99,0,0,0,0,0,0,0,0,0,0,0,121,5,0.041,0.041,0,0,0,0,121,5,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,,OK,Yes,Yes,1,NGA0005LF,1984,1987,0.5408957601,24.1,1197,6702,14,0,1,0,0,0,0
39,3128,LF3128NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Kaduna,2224,Lere,Lere,NGP001001000000000000,NGP001001000000000000,Health,Location,Federe,Federe,1,Rural,10.324615,8.759402,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,10,99,0,0,0,0,0,0,0,0,0,0,0,83,2,0.024,0.024,0,0,0,0,83,2,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,,OK,Yes,Yes,1,NGA0005LF,1984,1987,0.4500903785,24.3,1224,6811,20,0,0,1,0,0,0
40,3129,LF3129NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Kano,2225,Kiru,Kiru,NGP020034000000000000,NGP020034000000000000,Health,Location,R. Kayarda,R. Kayarda,1,Rural,11.506798,8.211514,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,0,99,0,0,0,0,0,0,0,0,0,0,0,66,1,0.015,0.015,0,0,0,0,66,1,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,,OK,Yes,Yes,1,NGA0005LF,1984,1987,0.4509613812,25.5,922,4839,14,0,1,0,0,0,0
41,3130,LF3130NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Plateau,65707,Jos East,Jos East,NGP032008000000000000,NGP032008000000000000,Health,Location,Gwodong,Gwodong,1,Rural,9.95,9.183333,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,0,99,0,0,0,0,0,0,0,0,0,0,0,132,1,0.008,0.008,0,0,0,0,132,1,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,,OK,Yes,Yes,1,NGA0005LF,1984,1987,0.540581286,21.6,1230,7472,60,0,0,0,1,0,0
42,3131,LF3131NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Adamawa,2211,Demsa,Demsa,NGP002021000000000000,NGP002021000000000000,Health,Location,Dorong,Borrong,3,Rural,9.533333,12.183333,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,0,99,0,0,0,0,0,0,0,0,0,0,0,82,1,0.012,0.012,0,0,0,0,82,1,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,I have found a location called Borrong,OK,Yes,Yes,1,NGA0005LF,1984,1987,0.6815040708,27.8,905,4559,210,0,0,0,0,0,0
43,3132,LF3132NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Kwara,2229,Asa,Asa,NGP024010000000000000,NGP024010000000000000,Health,Location,Tere,Atere,2,Rural,8.483333,4.483333,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,10,99,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,66,0,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,I have found a location called Atere,OK,Yes,Yes,0,NGA0005LF,1984,1987,0.0658606291,26.5,1211,6750,20,0,0,1,0,0,0
44,3133,LF3133NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Jos East,Jos East,NGP032008000000000000,NGP032008000000000000,Health,Location,Zendi,Zendi,1,Rural,9.85,9.25,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,10,99,0,0,0,0,0,0,0,0,0,0,0,115,3,0.026,0.026,0,0,0,0,115,3,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,,OK,Yes,Yes,1,NGA0005LF,1984,1987,0.4386521578,24.1,1207,6786,14,0,1,0,0,0,0
45,3134,LF3134NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Plateau,65707,Jos East,Jos East,NGP032008000000000000,NGP032008000000000000,Health,Location,Maijuju,Maijuju,1,Rural,9.755,9.151389,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,20,99,0,0,0,0,0,0,0,0,0,0,0,84,2,0.024,0.024,0,0,0,0,84,2,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,,OK,Yes,Yes,1,NGA0005LF,1984,1987,0.3552354574,23.9,1245,7122,14,0,1,0,0,0,0
46,3135,LF3135NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Plateau,65707,Jos East,Jos East,NGP032008000000000000,NGP032008000000000000,Health,Location,Fursum,Fursum,1,Rural,9.75,9.116667,AFRO,Preintervention,No,No,before 2000,1984,1987,March/April,0,Mapping Survey,Clinical,Clinical,0,0,0,Day,Wuchereria bancrofti,M/F,Adults/Children,0,99,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,90,0,NGA0005LF,"Ufomadu et al, 1990",Journal,1990,Lindsay/Thomas 2000,Diagnosis based on clinical sugestive of being LF,,OK,Yes,Yes,0,NGA0005LF,1984,1987,0.365416199,23.6,1262,7277,20,0,0,1,0,0,0
47,3296,LF3296NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Ebonyi,65701,Ikeduru,Ikeduru,NGP017007000000000000,NGP017007000000000000,Health,Location,Okaleru Umohera,Umuehere,2,,5.525765,7.163741,AFRO,Unknown,Unknown,Unknown,after 2000,2002,2003,July/January,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,145,56,0.386,0,0,0,0,0,0,0,0,0,0,0,0.386,0,0,0,0,0,0,NGA0013LF,"Anosike et al., 2005",Journal,2005,,Clinical data not available at community level; mass treatment with mectizan is described in the paper,I have found a location called Umuehere,OK,Yes,Yes,1,NGA0013LF,2002,2003,0.2268207967,26.2,2176,13820,30,-0.95191791,0,1,0,0,0
48,3299,LF3299NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Ebonyi,65701,Obubra,Obubra,NGP009005000000000000,NGP009005000000000000,Health,Location,Ohainyi,Ohana,3,,5.96714,8.366103,AFRO,Unknown,Unknown,Unknown,after 2000,2002,2003,July/January,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,199,23,0.116,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,NGA0013LF,"Anosike et al., 2005",Journal,2005,,Clinical data not available at community level; mass treatment with mectizan is described in the paper,I have found a nearby site called Ohana,OK,Yes,Yes,1,NGA0013LF,2002,2003,0.6485484242,27.2,2169,13105,30,-2.154165088,0,1,0,0,0
49,3300,LF3300NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Ebonyi,65701,Bende,Bende,NGP019009000000000000,NGP019009000000000000,Health,Location,Ndeagwegu,Ndeanyebu,4,,5.774941,7.572116,AFRO,Unknown,Unknown,Unknown,after 2000,2002,2003,July/January,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,95,7,0.074,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,0,0,0,0,NGA0013LF,"Anosike et al., 2005",Journal,2005,,Clinical data not available at community level; mass treatment with mectizan is described in the paper,I have found a location called Ndeanyebu,OK,Yes,Yes,1,NGA0013LF,2002,2003,0.2618269324,26.8,2040,12718,40,-2.603690186,0,0,1,0,0
50,3301,LF3301NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Ebonyi,65701,Afikpo North,Afikpo North,NGP011011000000000000,NGP011011000000000000,Health,Location,Amaeta,Ameta,2,,5.914851,7.993946,AFRO,Unknown,Unknown,Unknown,after 2000,2002,2003,July/January,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,102,25,0.245,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0,0,0,0,0,NGA0013LF,"Anosike et al., 2005",Journal,2005,,Clinical data not available at community level; mass treatment with mectizan is described in the paper,I have found a location called Ameta,OK,Yes,Yes,1,NGA0013LF,2002,2003,0.7895502448,27.5,2035,12355,60,-1.406497068,0,0,1,0,0
51,3302,LF3302NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Ebonyi,65701,Izzi,Izzi,NGP011009000000000000,NGP011009000000000000,Health,Location,Igweledeoha,Igweledeoha,1,,6.633333,8.233333,AFRO,Unknown,Unknown,Unknown,after 2000,2002,2003,July/January,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,79,7,0.087,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,NGA0013LF,"Anosike et al., 2005",Journal,2005,,Clinical data not available at community level; mass treatment with mectizan is described in the paper,,OK,Yes,Yes,1,NGA0013LF,2002,2003,0.8534827232,27.3,1768,10455,20,-2.44184716,0,1,0,0,0
52,3303,LF3303NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Ebonyi,65701,Yalla,Yalla,NGP009007000000000000,NGP009007000000000000,Health,Location,Ekwetekwe,Eketekwe,2,,6.5328,8.4095,AFRO,Unknown,Unknown,Unknown,after 2000,2002,2003,July/January,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,222,41,0.185,0,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,NGA0013LF,"Anosike et al., 2005",Journal,2005,,Clinical data not available at community level; mass treatment with mectizan is described in the paper,I have found a location called Eketekwe,OK,Yes,Yes,1,NGA0013LF,2002,2003,0.6536261439,27.6,1858,10859,130,-1.687399454,0,0,0,1,0
53,3304,LF3304NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Ebonyi,65701,Biase,Biase,NGP009014000000000000,NGP009014000000000000,Health,Location,Azunramura,Akunakuna,4,,5.6554,8.0287,AFRO,Unknown,Unknown,Unknown,after 2000,2002,2003,July/January,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,97,9,0.093,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,NGA0013LF,"Anosike et al., 2005",Journal,2005,,Clinical data not available at community level; mass treatment with mectizan is described in the paper,I have found a location called Akunakuna in this district,OK,Yes,Yes,1,NGA0013LF,2002,2003,0.258155942,27.2,2177,13405,30,-2.375155786,0,1,0,0,0
54,3305,LF3305NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Ebonyi,65701,,,,,Health,Location,Enyagharigwe,,4,,8.989165,5.210196,AFRO,Unknown,Unknown,Unknown,after 2000,2002,2003,July/January,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,68,15,0.221,0,0,0,0,0,0,0,0,0,0,0,0.221,0,0,0,0,0,0,NGA0013LF,"Anosike et al., 2005",Journal,2005,,Clinical data not available at community level; mass treatment with mectizan is described in the paper,I have not found a location with this name in gazetteer database,Further,Yes,Yes,1,NGA0013LF,2002,2003,0.1305167675,27.8,1154,6179,30,-1.509592577,0,1,0,0,0
55,3306,LF3306NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Kagadama,Kagadama,1,,10.028201,9.549454,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,253,4,0.016,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0009LF,1995,1995,0.5801802874,25.6,1094,5791,14,-4.135166557,1,0,0,0,0
56,3307,LF3307NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Kuletu,Kalatu,2,,10.764332,9.035646,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,I have found a location called Kalatu,OK,Yes,Yes,0,NGA0009LF,1995,1995,0.4639257193,24.4,1060,5732,130,0,0,0,0,1,0
57,3308,LF3308NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Bondi,Bori,4,,10.010675,10.462635,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,80,1,0.013,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,I have found a location called Bori within this area,OK,Yes,Yes,1,NGA0009LF,1995,1995,0.4403738678,26.6,957,4872,130,-4.342805922,0,0,0,1,0
58,3309,LF3309NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Bangel,Bagel,2,,10.042511,9.596386,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,150,2,0.013,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,I have found a location called Bagel within this area,OK,Yes,Yes,1,NGA0009LF,1995,1995,0.5785002708,25.7,1080,5687,14,-4.342805922,1,0,0,0,0
59,3310,LF3310NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Nda Barbak,Bargar,4,,10.102815,9.118966,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,90,3,0.033,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,I have found a location called Bargar in this area,OK,Yes,Yes,1,NGA0009LF,1995,1995,0.503929019,24.2,1203,6705,14,-3.411247718,1,0,0,0,0
60,3312,LF3312NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Dass,Dass,1,,10.118573,9.478501,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,429,5,0.012,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0009LF,1995,1995,0.4812691808,25.5,1096,5802,20,-4.422848629,0,1,0,0,0
61,3313,LF3313NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Birnin Ganye,Birni,3,,10.7167,10.8167,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,66,2,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,I have found several name sites starting with Birni,OK,Yes,Yes,1,NGA0009LF,1995,1995,0.3757844567,25.3,878,4495,20,-3.506557897,0,1,0,0,0
62,3315,LF3315NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Gwaltukurma,Kwaltukurwa,3,,9.92904,9.50054,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,187,1,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,I have found a location called Kwaltukurwa in this area,OK,Yes,Yes,1,NGA0009LF,1995,1995,0.4872220159,25.4,1119,5990,20,-5.298317367,0,1,0,0,0
63,3316,LF3316NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Pitman,Rifan,4,,9.783333,9.016667,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,72,2,0.028,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,I have found a location called Rifan in this area,OK,Yes,Yes,1,NGA0009LF,1995,1995,0.3245578706,22.7,1300,7709,130,-3.575550769,0,0,0,1,0
64,3317,LF3317NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dass,Dass,NGP005020000000000000,NGP005020000000000000,Health,Location,Bundili,Bunduli,2,,9.966667,9.516667,AFRO,Preintervention,No,No,before 2000,1995,1995,March/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NGA0009LF,"Anosike et al., 2003",Journal,2003,,Clinical data not available at community level,I have found a location in this area called Bunduli,OK,Yes,Yes,0,NGA0009LF,1995,1995,0.4617567658,25.5,1110,5923,14,0,1,0,0,0,0
65,3319,LF3319NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Cross river,2217,Obubra,Obubra,NGP009005000000000000,NGP009005000000000000,Health,Location,Eja,Eja,1,,6.86226,8.750909,AFRO,Preintervention,No,No,after 2000,2008,2009,December/June,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,80,188,57,0.303,8.8,2,0,0,0,0,0,0,0,0,0,0.303,0,0,0,0,0,0,NGA0022LF,"Okon et al., 2010",Journal,2010,,Clinical data not available at community level; data disaggregated by sex (prevalence and density),,OK,Yes,Yes,1,NGA0022LF,2008,2009,0.5492399931,27,1705,9878,110,-1.194022473,0,0,0,1,0
66,3320,LF3320NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Cross river,2217,Obubra,Obubra,NGP009005000000000000,NGP009005000000000000,Health,Location,Iyamitet,Iyamitet,1,,5.8577,8.338,AFRO,Preintervention,No,No,after 2000,2008,2009,December/June,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,80,178,36,0.202,9.9,2,0,0,0,0,0,0,0,0,0,0.202,0,0,0,0,0,0,NGA0022LF,"Okon et al., 2010",Journal,2010,,Clinical data not available at community level; data disaggregated by sex (prevalence and density),,OK,Yes,Yes,1,NGA0022LF,2008,2009,0.4296475351,27.1,2219,13505,30,-1.599487582,0,1,0,0,0
67,3321,LF3321NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Cross river,2217,Obubra,Obubra,NGP009005000000000000,NGP009005000000000000,Health,Location,Iyamoyong,Iyamoyong,1,,5.9634,8.3534,AFRO,Preintervention,No,No,after 2000,2008,2009,December/June,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,80,154,16,0.104,10.9,2,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,NGA0022LF,"Okon et al., 2010",Journal,2010,,Clinical data not available at community level; data disaggregated by sex (prevalence and density),,OK,Yes,Yes,1,NGA0022LF,2008,2009,0.6485484242,27.2,2169,13127,30,-2.26336438,0,1,0,0,0
68,3322,LF3322NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Cross river,2217,Obubra,Obubra,NGP009005000000000000,NGP009005000000000000,Health,Location,Ochon,Ochon,1,,5.9332,8.4413,AFRO,Preintervention,No,No,after 2000,2008,2009,December/June,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,80,101,12,0.119,10.8,2,0,0,0,0,0,0,0,0,0,0.119,0,0,0,0,0,0,NGA0022LF,"Okon et al., 2010",Journal,2010,,Clinical data not available at community level; data disaggregated by sex (prevalence and density),,OK,Yes,Yes,1,NGA0022LF,2008,2009,0.4684052765,27.2,2223,13407,30,-2.128631786,0,1,0,0,0
69,3323,LF3323NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Cross river,2217,Obubra,Obubra,NGP009005000000000000,NGP009005000000000000,Health,Location,Ofumbongha,Ofonbonga,2,,6.113164,8.430486,AFRO,Preintervention,No,No,after 2000,2008,2009,December/June,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,80,120,16,0.133,9.7,2,0,0,0,0,0,0,0,0,0,0.133,0,0,0,0,0,0,NGA0022LF,"Okon et al., 2010",Journal,2010,,Clinical data not available at community level; data disaggregated by sex (prevalence and density),I have found a location called Ofonbonga in this area,OK,Yes,Yes,1,NGA0022LF,2008,2009,0.7420680523,27.6,2112,12556,30,-2.017406151,0,1,0,0,0
70,3324,LF3324NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Cross river,2217,Obubra,Obubra,NGP009005000000000000,NGP009005000000000000,Health,Location,Ogada,Ogada,1,,6.0498,8.3392,AFRO,Preintervention,No,No,after 2000,2008,2009,December/June,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,80,156,2,0.013,9.5,2,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,NGA0022LF,"Okon et al., 2010",Journal,2010,,Clinical data not available at community level; data disaggregated by sex (prevalence and density),,OK,Yes,Yes,1,NGA0022LF,2008,2009,0.7660322785,27.4,2114,12658,30,-4.342805922,0,1,0,0,0
71,3325,LF3325NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Kano,2225,Dawakin Tofa,Dawakin Tofa,NGP020021000000000000,NGP020021000000000000,Health,Location,Marke,Marke,1,,12.127222,8.272778,AFRO,Unknown,Unknown,Unknown,after 2000,0,0,,0,Mapping Survey,Clinical/Parasitological,Clinical/Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,7,90,44,1,0.023,0,0,0,0,0,0,0,0,0,0,0,0.023,778,21,778,2,0,0,NGA0026LF,"Dogara et al., 2012",Journal,2012,,,,OK,Yes,Yes,1,NGA0026LF,0,0,0.5007292628,26,754,3841,14,-3.772261063,1,0,0,0,0
72,3326,LF3326NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Kano,2225,Gabasawa,Gabasawa,NGP020016000000000000,NGP020016000000000000,Health,Location,Gunduwa,Guduba,2,,11.453054,9.653742,AFRO,Unknown,Unknown,Unknown,after 2000,0,0,,0,Mapping Survey,Clinical/Parasitological,Clinical/Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,7,90,91,1,0.011,0,0,0,0,0,0,0,0,0,0,0,0.011,501,9,501,5,0,0,NGA0026LF,"Dogara et al., 2012",Journal,2012,,,I have found a location called Guduba in Kano state,OK,Yes,Yes,1,NGA0026LF,0,0,0.5108677745,26.5,812,3970,14,-4.509860006,1,0,0,0,0
